Sex,Diet,Bodyweight
F,hf,31.94
F,hf,32.48
F,hf,22.82
F,hf,19.92
F,hf,32.22
F,hf,27.5
F,hf,27.56
F,hf,36.44
F,hf,19.39
F,hf,23.16
F,hf,24.29
F,hf,18.78
F,hf,25.43
F,hf,24.3
F,hf,33.9
F,hf,31.47
F,hf,32.01
F,hf,18.52
F,hf,26.86
F,hf,25.41
F,hf,29.18
F,hf,25.3
F,hf,29.64
F,hf,20.73
F,hf,28.26
F,chow,27.03
F,chow,24.8
F,chow,27.02
F,chow,28.07
F,chow,23.55
F,chow,22.72
F,chow,24.82
F,chow,21.6
F,chow,23.98
F,chow,26.6
F,chow,19.24
F,chow,21.43
F,chow,22.73
F,chow,20.1
F,chow,20.6
F,chow,21.49
F,chow,24.73
F,chow,27.92
F,chow,27.51
F,chow,19.88
F,chow,20.72
F,chow,24
F,chow,25.08
F,chow,25.27
F,chow,22.08
F,chow,20.52
F,chow,23.39
F,chow,19.87
F,chow,17.95
F,chow,31.83
F,chow,21.71
F,chow,29.99
F,chow,20.89
F,chow,29.6
F,chow,22.77
F,chow,26.03
F,chow,36.84
F,chow,26.25
F,chow,22.93
F,chow,28.25
F,chow,23.84
F,chow,20.53
F,chow,24.1
F,chow,24.79
F,chow,23.68
F,chow,21.86
F,chow,27.25
F,chow,21.55
F,chow,24.12
F,chow,23.07
F,hf,20.8
F,hf,24.54
F,hf,27.28
F,hf,22.13
F,hf,27.78
F,hf,28.01
F,hf,19.18
F,hf,21.4
F,hf,27.53
F,hf,28.61
F,hf,20.45
F,hf,23
F,hf,28.26
F,hf,24.76
F,hf,23.82
F,hf,21.9
F,hf,26.07
F,hf,31.15
F,hf,27.92
F,hf,19.81
F,hf,24.94
F,hf,22.6
F,hf,22.39
F,hf,34.93
F,hf,29.66
F,hf,26.46
F,chow,20.43
F,chow,24.82
F,chow,25.43
F,chow,22.12
F,chow,20.99
F,chow,23.28
F,chow,25.78
F,chow,22
F,chow,20.74
F,chow,21.51
F,chow,26.85
F,chow,25.54
F,chow,22.51
F,chow,21.92
F,chow,21.32
F,chow,23.59
F,chow,26.14
F,chow,20.27
F,chow,29.6
F,chow,24.77
F,chow,22.36
F,chow,21.65
F,chow,22.08
F,chow,26.59
F,chow,24.6
F,hf,21.88
F,hf,26.5
F,hf,24.55
F,hf,16.56
F,hf,29.18
F,hf,26.07
F,hf,17.54
F,hf,26.18
F,hf,25.26
F,hf,27.5
F,hf,23.14
F,hf,31.41
F,hf,25.14
F,hf,22.12
F,hf,17.01
F,hf,22.8
F,hf,25.37
F,hf,28.61
F,hf,22.13
F,hf,21.66
F,hf,24.9
F,hf,33.13
F,hf,29.58
F,hf,23.05
F,chow,22.19
F,chow,29.19
F,chow,25.14
F,chow,23.19
F,chow,27.36
F,chow,23.53
F,chow,23.54
F,chow,18.41
F,chow,28.14
F,chow,23.34
F,chow,20.11
F,chow,18.08
F,chow,21.03
F,chow,24.23
F,chow,19.67
F,chow,22.66
F,chow,26.66
F,chow,20.69
F,chow,27.42
F,chow,21.91
F,chow,16.82
F,chow,24.47
F,chow,23.96
F,chow,23.18
F,chow,28.8
F,hf,23.98
F,hf,26.37
F,hf,24.05
F,hf,31.18
F,hf,34.3
F,hf,31.63
F,hf,23.83
F,hf,25.84
F,hf,26.84
F,hf,36.23
F,hf,23.52
F,hf,24.65
F,hf,24.47
F,hf,39.28
F,hf,26.42
F,hf,18.55
F,hf,20.67
F,hf,23.43
F,hf,20.88
F,hf,18.73
F,hf,24.64
F,hf,25.22
F,hf,29.1
F,hf,25.34
F,hf,34.61
F,chow,26.37
F,chow,23.61
F,chow,26.07
F,chow,27.75
F,chow,23.7
F,chow,23.73
F,chow,24.49
F,chow,22.87
F,chow,29.23
F,chow,21.46
F,chow,22.12
F,chow,33.47
F,chow,24.96
F,chow,26.15
F,chow,24.89
F,chow,19.41
F,chow,26.36
F,chow,26.47
F,chow,23.19
F,chow,22.32
F,chow,20.03
F,chow,23.51
F,chow,21.35
F,chow,21.58
F,chow,22.27
F,hf,21.79
F,hf,18.789
F,hf,20.29
F,hf,26.44
F,hf,25.88
F,hf,23.48
F,hf,22.98
F,hf,24.04
F,hf,32.96
F,hf,23.09
F,hf,24.29
F,hf,28.72
F,hf,29.93
F,hf,26.5
F,hf,23.26
F,hf,19.21
F,hf,21.15
F,hf,20.23
F,hf,18.24
F,hf,15.97
F,hf,30.81
F,hf,25.38
F,hf,30.34
F,hf,31.53
F,hf,22.19
F,chow,23.09
F,chow,23.88
F,chow,24.04
F,chow,27.15
F,chow,18.8
F,chow,28.07
F,chow,24.46
F,chow,25.42
F,chow,20.28
F,chow,24.06
F,chow,15.51
F,chow,22.51
F,chow,15.94
F,chow,19.9
F,chow,19.44
F,chow,22.18
F,chow,25.97
F,chow,25.96
F,chow,23.12
F,chow,20.98
F,chow,24.78
F,chow,22.56
F,chow,20.36
F,chow,16.05
F,chow,17.95
F,hf,37.52
F,hf,28.88
F,hf,22.62
F,hf,22.57
F,hf,28.72
F,hf,25.11
F,hf,25.22
F,hf,25.41
F,hf,27.22
F,hf,23.44
F,hf,27.79
F,hf,31.1
F,hf,25.71
F,hf,25.99
F,hf,28.55
F,hf,24.97
F,hf,39.73
F,hf,27.23
F,hf,27.97
F,hf,25.23
F,hf,21.8
F,hf,25.62
F,hf,24.15
F,hf,50.49
F,hf,30.12
F,chow,22.71
F,chow,28.22
F,chow,21.5
F,chow,20.3
F,chow,19.96
F,chow,19.07
F,chow,22.35
F,chow,20.54
F,chow,30.45
F,chow,23.54
F,chow,20.61
F,chow,20.18
F,chow,20.59
F,chow,23.32
F,chow,26.35
F,chow,22.91
F,chow,25.1
F,chow,28.46
F,chow,21.31
F,chow,28.53
F,chow,28.43
F,chow,20.81
F,chow,27
F,chow,24.55
F,chow,21.18
F,chow,21.77
F,chow,23.8
F,chow,20.99
F,chow,23.11
F,chow,24.82
F,chow,22.59
F,chow,18.47
F,chow,21.1
F,chow,25.83
F,chow,16.31
F,chow,24.79
F,chow,26.08
F,chow,32.74
F,chow,27.26
F,chow,31.24
F,chow,33.81
F,chow,23.52
F,chow,27.73
F,chow,28.26
F,chow,23.3
F,chow,18.83
F,chow,27.7
F,chow,19.79
F,chow,27.2
F,chow,25.4
F,hf,30.92
F,hf,29
F,hf,22.8
F,hf,20.2
F,hf,33.28
F,hf,30.14
F,hf,24.47
F,hf,22.93
F,hf,35.4
F,hf,17.97
F,hf,28.29
F,hf,18.35
F,hf,27.49
F,hf,28.05
F,hf,25.1
F,hf,28.44
F,hf,30.11
F,hf,30.13
F,hf,27.54
F,hf,31.97
F,hf,26.9
F,hf,21.07
F,hf,22.86
F,hf,22.74
F,hf,33.65
F,chow,26.75
F,chow,23.45
F,chow,24.77
F,chow,23.39
F,chow,22.95
F,chow,21.84
F,chow,28.4
F,chow,28.21
F,chow,33.36
F,chow,29.13
F,chow,24.21
F,chow,22.99
F,chow,24.68
F,chow,24.67
F,chow,25.12
F,chow,23.95
F,chow,25.69
F,chow,28.36
F,chow,24.96
F,chow,27.36
F,chow,26.91
F,chow,26.58
F,chow,23.39
F,chow,20.25
F,chow,23.22
F,hf,23.56
F,hf,25.67
F,hf,29.22
F,hf,41.42
F,hf,34.02
F,hf,27.44
F,hf,31.96
F,hf,21.02
F,hf,29.49
F,hf,21.94
F,hf,27.85
F,hf,39.42
F,hf,26.35
F,hf,22.52
F,hf,27.07
F,hf,36.47
F,hf,21.47
F,hf,24.11
F,hf,28.14
F,hf,20.34
F,hf,28.37
F,hf,24.14
F,hf,25.08
F,hf,31.86
F,hf,26.48
M,hf,27.81
M,hf,29.45
M,hf,35.11
M,hf,31.25
M,hf,38.26
M,hf,29.06
M,hf,42.8
M,hf,32.34
M,hf,NA
M,hf,35.48
M,hf,33.05
M,hf,37.06
M,hf,29.71
M,hf,34.4
M,hf,39.42
M,hf,36.32
M,hf,41.48
M,hf,46.27
M,hf,37.48
M,hf,36.34
M,hf,26.7
M,hf,36.77
M,hf,41.83
M,hf,37.89
M,chow,45.23
M,chow,23.73
M,chow,34.03
M,chow,24.98
M,chow,28.56
M,chow,29.32
M,chow,39.16
M,chow,32.04
M,chow,32.09
M,chow,24.16
M,chow,27.38
M,chow,30.29
M,chow,36.79
M,chow,28.63
M,chow,31.01
M,chow,32.11
M,chow,31.22
M,chow,32.05
M,chow,24.58
M,chow,35.15
M,chow,30.71
M,chow,32.81
M,chow,33.96
M,chow,29.34
M,chow,31.56
M,chow,35.51
M,chow,36.2
M,chow,36.64
M,chow,25.14
M,chow,32.1
M,chow,28.74
M,chow,31.55
M,chow,28.88
M,chow,36.21
M,chow,33.39
M,chow,33.83
M,chow,34.11
M,chow,29.38
M,chow,31.71
M,chow,31.95
M,chow,31.77
M,chow,33
M,chow,31.64
M,chow,37.5
M,chow,23.66
M,chow,33.92
M,chow,31.63
M,chow,25.65
M,chow,39.98
M,chow,25.63
M,hf,26.69
M,hf,41.71
M,hf,28.45
M,hf,35.85
M,hf,38.74
M,hf,35.54
M,hf,38.62
M,hf,32.09
M,hf,29.88
M,hf,29.76
M,hf,41.25
M,hf,27.64
M,hf,35.62
M,hf,40.02
M,hf,36.63
M,hf,42.89
M,hf,28.5
M,hf,34.59
M,hf,40.81
M,hf,36.58
M,hf,34.47
M,hf,38.29
M,hf,22.61
M,hf,34.09
M,chow,28.19
M,chow,33.89
M,chow,29.87
M,chow,29.72
M,chow,26.64
M,chow,39.85
M,chow,33
M,chow,36.63
M,chow,31.37
M,chow,33.46
M,chow,29.99
M,chow,24.19
M,chow,29.31
M,chow,31.83
M,chow,28.8
M,chow,32.24
M,chow,29.89
M,chow,36.53
M,chow,24
M,chow,37.98
M,chow,25.24
M,chow,31.48
M,chow,29.21
M,chow,25.91
M,chow,29.09
M,hf,33.29
M,hf,29.93
M,hf,33.55
M,hf,30.58
M,hf,35.63
M,hf,26.86
M,hf,30.53
M,hf,36.95
M,hf,36.78
M,hf,29.51
M,hf,40.25
M,hf,31.28
M,hf,40.47
M,hf,37.65
M,hf,32.5
M,hf,48.93
M,hf,23.57
M,hf,36.75
M,hf,36.43
M,hf,32.95
M,hf,31.86
M,hf,32.66
M,hf,41.26
M,hf,41.34
M,hf,29.26
M,hf,35.27
M,chow,27.27
M,chow,25.66
M,chow,32.06
M,chow,33.11
M,chow,25.73
M,chow,32.76
M,chow,30.81
M,chow,33.14
M,chow,29.2
M,chow,27.65
M,chow,26.92
M,chow,27.29
M,chow,27.66
M,chow,28.81
M,chow,26.01
M,chow,28.78
M,chow,29.76
M,chow,29.91
M,chow,29.87
M,chow,25.65
M,chow,25.67
M,chow,36.25
M,chow,27.93
M,chow,32.5
M,chow,27.36
M,hf,36.74
M,hf,47.44
M,hf,39.2
M,hf,37.58
M,hf,39.78
M,hf,48.14
M,hf,26.45
M,hf,49.18
M,hf,34.83
M,hf,39.08
M,hf,47.1
M,hf,27.16
M,hf,32.94
M,hf,31.06
M,hf,54.08
M,hf,31.82
M,hf,35.22
M,hf,40.09
M,hf,36.36
M,hf,24.77
M,hf,40.36
M,hf,35.18
M,hf,29.62
M,hf,37.13
M,hf,38.34
M,chow,31.18
M,chow,30.32
M,chow,27.79
M,chow,32.35
M,chow,27.64
M,chow,34.62
M,chow,39.38
M,chow,30.93
M,chow,32.81
M,chow,30.83
M,chow,39.22
M,chow,34.48
M,chow,34.53
M,chow,32.11
M,chow,36.27
M,chow,30.02
M,chow,28.54
M,chow,33.52
M,chow,33.43
M,chow,36.85
M,chow,24.67
M,chow,33.4
M,chow,31.29
M,chow,23.63
M,hf,32.72
M,hf,28.57
M,hf,42.09
M,hf,33.18
M,hf,28.56
M,hf,NA
M,hf,30.72
M,hf,24.34
M,hf,34.54
M,hf,33.34
M,hf,29.39
M,hf,43.24
M,hf,31.15
M,hf,32.6
M,hf,33.8
M,hf,29.79
M,hf,24.07
M,hf,34.02
M,hf,31.01
M,hf,35.73
M,hf,39.83
M,hf,31.27
M,hf,33.54
M,chow,27.8
M,chow,23.1
M,chow,27.26
M,chow,32.23
M,chow,28.17
M,chow,32.23
M,chow,29.59
M,chow,26.33
M,chow,31.84
M,chow,26.26
M,chow,21.23
M,chow,30.29
M,chow,25.41
M,chow,33.55
M,chow,26.69
M,chow,26.04
M,chow,22.42
M,chow,28.22
M,chow,32.91
M,chow,32.65
M,chow,26.94
M,chow,27.79
M,chow,33.63
M,chow,21.67
M,chow,32.89
M,hf,30.76
M,hf,37.31
M,hf,33.31
M,hf,29.1
M,hf,33.78
M,hf,33.67
M,hf,39.66
M,hf,38.23
M,hf,36.53
M,hf,37.13
M,hf,33.43
M,hf,29.05
M,hf,33.03
M,hf,36.73
M,hf,43.7
M,hf,23.52
M,hf,39.84
M,hf,33.15
M,hf,37.12
M,hf,36.13
M,hf,30.92
M,hf,23.69
M,hf,33.19
M,hf,36.82
M,hf,31.97
M,chow,29.08
M,chow,33.17
M,chow,40.28
M,chow,32.73
M,chow,31.66
M,chow,29.57
M,chow,27.29
M,chow,35.17
M,chow,30.36
M,chow,37.13
M,chow,36.44
M,chow,29.88
M,chow,27.77
M,chow,42.31
M,chow,20.72
M,chow,29.65
M,chow,26.55
M,chow,34.35
M,chow,32.98
M,chow,35.35
M,chow,32.1
M,chow,23
M,chow,40.7
M,chow,NA
M,chow,28.95
M,chow,28.39
M,chow,35.13
M,chow,29.16
M,chow,32.69
M,chow,26.42
M,chow,31.77
M,chow,27.01
M,chow,30.58
M,chow,25.76
M,chow,38.37
M,chow,37.51
M,chow,35.03
M,chow,32.47
M,chow,29.85
M,chow,36.2
M,chow,28.18
M,chow,36.1
M,chow,40.45
M,chow,30.55
M,chow,22.96
M,chow,28.61
M,chow,32.2
M,chow,33.21
M,chow,46.71
M,chow,30.53
M,hf,30.13
M,hf,36.58
M,hf,36.23
M,hf,41.03
M,hf,32.94
M,hf,34.98
M,hf,41.46
M,hf,35.19
M,hf,25.42
M,hf,40.78
M,hf,34.81
M,hf,29.92
M,hf,38.9
M,hf,32.78
M,hf,41.94
M,hf,34.01
M,hf,42.95
M,hf,30.48
M,hf,40.26
M,hf,40.28
M,hf,27.57
M,hf,41.98
M,hf,39.73
M,hf,45.79
M,hf,38.02
M,chow,30.8
M,chow,35.83
M,chow,25.99
M,chow,36.58
M,chow,31.8
M,chow,28.71
M,chow,37.02
M,chow,32.51
M,chow,26.65
M,chow,32.15
M,chow,33.83
M,chow,27.07
M,chow,28.38
M,chow,41.7
M,chow,30.87
M,chow,29.21
M,chow,34.74
M,chow,30.06
M,chow,33.53
M,chow,30.86
M,chow,27.9
M,chow,31.57
M,chow,26.09
M,chow,23.14
M,chow,31.28
M,hf,30.81
M,hf,36.21
M,hf,39.21
M,hf,37.99
M,hf,39.69
M,hf,36.98
M,hf,24.52
M,hf,38.53
M,hf,33.83
M,hf,30.04
M,hf,27.03
M,hf,34.89
M,hf,NA
M,hf,NA
M,hf,32.07
M,hf,22.48
M,hf,30.93
M,hf,29.69
M,hf,34.52
M,hf,30.85
M,hf,36.43
M,hf,24.09
M,hf,32.18
M,hf,34.14
M,hf,41.82
